Time [s], Filename
33.3667, outdoor/snapshot_249.png
33.5029, outdoor/snapshot_250.png
33.6349, outdoor/snapshot_251.png
33.7663, outdoor/snapshot_252.png
33.9024, outdoor/snapshot_253.png
34.035, outdoor/snapshot_254.png
34.1667, outdoor/snapshot_255.png
34.3029, outdoor/snapshot_256.png
34.4351, outdoor/snapshot_257.png
34.5701, outdoor/snapshot_258.png
34.7025, outdoor/snapshot_259.png
34.835, outdoor/snapshot_260.png
34.9703, outdoor/snapshot_261.png
35.1029, outdoor/snapshot_262.png
35.235, outdoor/snapshot_263.png
35.3706, outdoor/snapshot_264.png
35.5028, outdoor/snapshot_265.png
35.6388, outdoor/snapshot_266.png
35.7708, outdoor/snapshot_267.png
35.9029, outdoor/snapshot_268.png
36.0389, outdoor/snapshot_269.png
36.1705, outdoor/snapshot_270.png
36.3029, outdoor/snapshot_271.png
36.4381, outdoor/snapshot_272.png
36.57, outdoor/snapshot_273.png
36.7069, outdoor/snapshot_274.png
36.8378, outdoor/snapshot_275.png
36.9715, outdoor/snapshot_276.png
37.1059, outdoor/snapshot_277.png
37.2384, outdoor/snapshot_278.png
37.3717, outdoor/snapshot_279.png
37.506, outdoor/snapshot_280.png
37.6387, outdoor/snapshot_281.png
37.7743, outdoor/snapshot_282.png
37.9064, outdoor/snapshot_283.png
38.0383, outdoor/snapshot_284.png
38.1743, outdoor/snapshot_285.png
38.3063, outdoor/snapshot_286.png
38.4385, outdoor/snapshot_287.png
38.5743, outdoor/snapshot_288.png
38.7064, outdoor/snapshot_289.png
38.8384, outdoor/snapshot_290.png
38.9747, outdoor/snapshot_291.png
39.1077, outdoor/snapshot_292.png
39.2391, outdoor/snapshot_293.png
39.375, outdoor/snapshot_294.png
39.5081, outdoor/snapshot_295.png
39.6436, outdoor/snapshot_296.png
39.7742, outdoor/snapshot_297.png
39.9069, outdoor/snapshot_298.png
40.0428, outdoor/snapshot_299.png
40.1758, outdoor/snapshot_300.png
40.3061, outdoor/snapshot_301.png
40.4417, outdoor/snapshot_302.png
40.5751, outdoor/snapshot_303.png
40.7069, outdoor/snapshot_304.png
40.8428, outdoor/snapshot_305.png
40.9745, outdoor/snapshot_306.png
41.1116, outdoor/snapshot_307.png
41.2424, outdoor/snapshot_308.png
41.3751, outdoor/snapshot_309.png
41.5104, outdoor/snapshot_310.png
41.6424, outdoor/snapshot_311.png
41.7744, outdoor/snapshot_312.png
41.9065, outdoor/snapshot_313.png
42.0428, outdoor/snapshot_314.png
42.1784, outdoor/snapshot_315.png
42.3104, outdoor/snapshot_316.png
42.4424, outdoor/snapshot_317.png
42.5783, outdoor/snapshot_318.png
